url,filename,title,artist,original_title,original_artist,format
https://www.tiktok.com/@dzdiablo25/video/7484062889456831786,viva_la_lebron,Viva La Lebron,dzdiablo25,Viva La Vida,Coldplay,mp3
https://www.tiktok.com/@.ilyaugust/video/7482431302185094442,thinking_bout_lebron,Thinking Bout Lebron,ilyaugust,Talking to the Moon,Bruno Mars,mp3
https://www.tiktok.com/@heyitskrypt/video/7484941303713860910,lebrons_room,Lebron's Room,heyitskrypt,Marvin's Room,Drake,mp3
https://www.tiktok.com/@.ilyaugust/video/7481686376535035182,the_lebron_that_i_used_to_know,The Lebron That I Used To Know,ilyaugust,Somebody That I Used to Know,Gotye,mp3
https://www.tiktok.com/@quasarsfr/video/7482421677423398190,the_man_on_the_lakers,The Man on the Lakers,imakeparodyzz,,,mp3
https://www.tiktok.com/@.ilyaugust/video/7483317184979045678,thats_bron,That's Bron,ilyaugust,Thank You,CeeLo Green,mp3
https://www.tiktok.com/@itsokayspade/video/7478087272454360366,lebron_lebron_lebron,Lebron Lebron Lebron,itsokayspade,,,mp3
https://www.tiktok.com/@.ilyaugust/video/7484838433664339242,bring_me_back_to_bron,Bring me Back to Bron,ilyaugust,Bring Me to Life,Evanescence,mp3
https://www.tiktok.com/@.ilyaugust/video/7488146647776660782,bron_royalty,Bron Royalty,ilyaugust,Trap Royalty,Fetty Wap,mp3
https://www.tiktok.com/@zagaraaaa/video/7486248421989305642,the_way_lebron_goes,The Way Lebron Goes,zagaraaaa,the way things go,beabadoobee,mp3
https://www.tiktok.com/@musicbykidb/video/7488398502997806382,all_of_bron,All of Bron,musicbykidb,All of Me,John Legend,mp3
https://www.tiktok.com/@mgscorin/video/7487295855016381738,the_color_lebron,The Color Lebron,mgscorin,The Color Violet,Tory Lanez,mp3
https://www.tiktok.com/@.ilyaugust/video/7488526774872182059,what_makes_bron_beautiful,What Makes Bron Beautiful,ilyaugust,What Makes You Beautiful,One Direction,mp3
https://www.tiktok.com/@.ilyaugust/video/7486662524021099818,brontastic,Brontastic,ilyaugust,Classic,MKTO,mp3
https://www.tiktok.com/@omgitsnotjane/video/7488148222439951646,bron_to_his_city,Bron to His City,omgitsnotjane,Belong to the City,PARTYNEXTDOOR,mp3
https://www.tiktok.com/@.ilyaugust/video/7483677948290092331,i_write_brons_not_brongies,I Wite Brons Not Brongies,ilyaugust,I Write Sins Not Tragedies,Panic! At The Disco,mp3
https://www.tiktok.com/@.ilyaugust/video/7487409910079049006,shut_up_and_dance_with_bron,Shut Up and Dance with Bron,ilyaugust,Shut Up and Dance,WALK THE MOON,mp3
https://www.tiktok.com/@.ilyaugust/video/7485927780912221483,the_sweet_lescape,The Sweet LeScape,ilyaugust,The Sweet Escape,Gwen Stefani,mp3
https://www.tiktok.com/@.ilyaugust/video/7485547513366203690,romantic_bronicide,Romantic Bronicide,ilyaugust,Romantic Homicide,d4vd,mp3
https://www.tiktok.com/@.ilyaugust/video/7482051874749697323,lebron_hour,Lebron Hour,ilyaugust,Golden Hour,JVKE,mp3
https://www.tiktok.com/@.ilyaugust/video/7481815443594890538,let_lebron_know,Let Lebron Know,ilyaugust,Let Me Know,Tamar Braxton,mp3
